Person [firstName=1, lastName=1, id=206, phone=1, address=Address [streetNumber=1, streetName=1, city=1, state=Alabama, zip=11751]]Faculty [rank=null, salary=0.0, coursesTeaching=null]
Person [firstName=1, lastName=1, id=206, phone=1, address=Address [streetNumber=1, streetName=1, city=1, state=Alabama, zip=11751]]Faculty [rank=null, salary=0.0, coursesTeaching=null]
Person [firstName=1, lastName=1, id=206, phone=1, address=Address [streetNumber=1, streetName=1, city=1, state=Alabama, zip=11751]]Faculty [rank=null, salary=0.0, coursesTeaching=null]
Person [firstName=1, lastName=1, id=206, phone=1, address=Address [streetNumber=1, streetName=1, city=1, state=Alabama, zip=11751]]Faculty [rank=null, salary=0.0, coursesTeaching=null]
Person [firstName=1, lastName=1, id=206, phone=1, address=Address [streetNumber=1, streetName=1, city=1, state=Alabama, zip=11751]]Faculty [rank=null, salary=0.0, coursesTeaching=null]
Person [firstName=1, lastName=1, id=206, phone=1, address=Address [streetNumber=1, streetName=1, city=1, state=Alabama, zip=11751]]Faculty [rank=null, salary=0.0, coursesTeaching=null]
Person [firstName=1, lastName=1, id=206, phone=1, address=Address [streetNumber=1, streetName=1, city=1, state=Alabama, zip=11751]]Faculty [rank=null, salary=0.0, coursesTeaching=null]
Person [firstName=1, lastName=1, id=206, phone=1, address=Address [streetNumber=1, streetName=1, city=1, state=Alabama, zip=11751]]Faculty [rank=null, salary=0.0, coursesTeaching=null]
Person [firstName=1, lastName=1, id=206, phone=1, address=Address [streetNumber=1, streetName=1, city=1, state=Alabama, zip=11751]]Faculty [rank=null, salary=0.0, coursesTeaching=null]
Person [firstName=Ben, lastName=Joe, id=234, phone=6312774242, address=Address [streetNumber=50, streetName=Suffolk Rd, city=Commack, state=Ny, zip=11775]]Faculty [rank= Associate teacher, salary=100000.0, coursesTeaching=[100000,  MAT125,  CSE148 ,  PED112,  CSE172  ]]
Person [firstName=Ben, lastName=Joe, id=234, phone=6312774242, address=Address [streetNumber=50, streetName=Suffolk Rd, city=Commack, state=Ny, zip=11775]]Faculty [rank= Associate teacher, salary=100000.0, coursesTeaching=[100000,  MAT125,  CSE148 ,  PED112,  CSE172  ]]
Person [firstName=Ben, lastName=Joe, id=234, phone=6312774242, address=Address [streetNumber=50, streetName=Suffolk Rd, city=Commack, state=Ny, zip=11775]]Faculty [rank= Associate teacher, salary=100000.0, coursesTeaching=[100000,  MAT125,  CSE148 ,  PED112,  CSE172  ]]
Person [firstName=Ben, lastName=Joe, id=234, phone=6312774242, address=Address [streetNumber=50, streetName=Suffolk Rd, city=Commack, state=Ny, zip=11775]]Faculty [rank= Associate teacher, salary=100000.0, coursesTeaching=[100000,  MAT125,  CSE148 ,  PED112,  CSE172  ]]
Person [firstName=Ben, lastName=Joe, id=234, phone=6312774242, address=Address [streetNumber=50, streetName=Suffolk Rd, city=Commack, state=Ny, zip=11775]]Faculty [rank= Associate teacher, salary=100000.0, coursesTeaching=[100000,  MAT125,  CSE148 ,  PED112,  CSE172  ]]
Person [firstName=Ben, lastName=Joe, id=234, phone=6312774242, address=Address [streetNumber=50, streetName=Suffolk Rd, city=Commack, state=Ny, zip=11775]]Faculty [rank= Associate teacher, salary=100000.0, coursesTeaching=[100000,  MAT125,  CSE148 ,  PED112,  CSE172  ]]
Person [firstName=Ben, lastName=Joe, id=234, phone=6312774242, address=Address [streetNumber=50, streetName=Suffolk Rd, city=Commack, state=Ny, zip=11775]]Faculty [rank= Associate teacher, salary=100000.0, coursesTeaching=[100000,  MAT125,  CSE148 ,  PED112,  CSE172  ]]
Person [firstName=Ben, lastName=Joe, id=234, phone=6312774242, address=Address [streetNumber=50, streetName=Suffolk Rd, city=Commack, state=Ny, zip=11775]]Faculty [rank= Associate teacher, salary=100000.0, coursesTeaching=[100000,  MAT125,  CSE148 ,  PED112,  CSE172  ]]
Person [firstName=Ben, lastName=Joe, id=234, phone=6312774242, address=Address [streetNumber=50, streetName=Suffolk Rd, city=Commack, state=Ny, zip=11775]]Faculty [rank= Associate teacher, salary=100000.0, coursesTeaching=[100000,  MAT125,  CSE148 ,  PED112,  CSE172  ]]
Person [firstName=Ben, lastName=Joe, id=238, phone=6312774242, address=Address [streetNumber=50, streetName=Suffolk Rd, city=Commack, state=Ny, zip=11775]]Faculty [rank= Associate teacher, salary=100000.0, coursesTeaching=[100000,  MAT125,  CSE148 ,  PED112,  CSE172  ]]
Person [firstName=Ben, lastName=Joe, id=238, phone=6312774242, address=Address [streetNumber=50, streetName=Suffolk Rd, city=Commack, state=Ny, zip=11775]]Faculty [rank= Associate teacher, salary=100000.0, coursesTeaching=[100000,  MAT125,  CSE148 ,  PED112,  CSE172  ]]
